RoomID,Space Name,Sq. Footage,'Expense/Day',Building,Floor,X,Y
0,Exhibit Hall A1,149000.00,2859.00,0.00,0.00,1.00,1.00
1,Exhibit Hall A2,86000.00,2204.77,0.00,0.00,2.00,1.00
2,Exhibit Hall A3,105000.00,3025.11,0.00,0.00,3.00,1.00
3,Exhibit Hall Meeting Room A101,7667.00,192.10,0.00,0.00,3.00,1.00
4,Exhibit Hall Meeting Room A102,7667.00,192.10,0.00,0.00,3.00,2.00
5,Exhibit Hall Meeting Room A103,7667.00,192.10,0.00,0.00,3.00,3.00
6,Meeting Room A301,2863.00,82.16,0.00,60.00,1.00,2.00
7,Meeting Room A302,4239.00,120.38,0.00,60.00,2.00,1.00
8,Meeting Room A303,1331.00,40.18,0.00,60.00,3.00,1.00
9,Meeting Room A304,1331.00,37.65,0.00,60.00,3.00,2.00
10,Meeting Room A305,4272.00,125.68,0.00,60.00,2.00,2.00
11,Meeting Room A306,534.00,12.38,0.00,60.00,1.00,3.00
12,Meeting Room A307,1897.00,53.64,0.00,60.00,8.00,4.00
13,Meeting Room A308a,454.00,12.50,0.00,60.00,9.00,4.00
14,Meeting Room A308b,486.00,13.39,0.00,60.00,10.00,4.00
15,Meeting Room A309,1897.00,52.73,0.00,60.00,13.00,4.00
16,Meeting Room A310,950.00,28.11,0.00,60.00,13.00,2.00
17,Meeting Room A311,2647.00,81.73,0.00,60.00,9.00,1.00
18,Meeting Room A312,2625.00,80.26,0.00,60.00,8.00,1.00
19,Meeting Room A313,2386.00,82.16,0.00,60.00,7.00,1.00
20,Meeting Room A314,2561.00,88.19,0.00,60.00,6.00,1.00
21,Meeting Room A315,1812.00,58.32,0.00,60.00,5.00,2.00
22,Meeting Room A316,1816.00,58.45,0.00,60.00,5.00,1.00
23,Building A Registration Hall,10162.00,285.24,0.00,90.00,3.00,6.00
24,Building A-B Registration Hall,20324.00,639.17,0.00,90.00,3.00,6.00
25,Executive Boardroom,2593.00,120.38,0.00,90.00,1.00,4.00
26,Meeting Room A401,1220.00,65.38,0.00,90.00,4.00,4.00
27,Meeting Room A402,1898.00,120.05,0.00,90.00,5.00,4.00
28,Meeting Room A403,1901.00,82.54,0.00,90.00,6.00,4.00
29,Meeting Room A404,4096.00,72.72,0.00,90.00,7.00,4.00
30,Meeting Room A405,2048.00,67.79,0.00,90.00,8.00,4.00
31,Meeting Room A406,1143.00,38.98,0.00,90.00,9.00,4.00
32,Meeting Room A407,1411.00,53.30,0.00,90.00,10.00,4.00
33,Meeting Room A408,1543.00,35.34,0.00,90.00,11.00,4.00
34,Meeting Room A409,3331.00,101.23,0.00,90.00,12.00,4.00
35,Meeting Room A410,3331.00,186.61,0.00,90.00,13.00,4.00
36,Meeting Room A411,5834.00,444.47,0.00,90.00,6.00,1.00
37,Meeting Room A412,5488.00,143.36,0.00,90.00,5.00,1.00
38,Meeting Room A412A,1857.00,244.81,0.00,90.00,4.00,1.00
39,Sidney Marcus Auditorium,15689.00,1012.08,0.00,90.00,1.00,1.00
40,Exhibit Hall B1,89500.00,1636.41,200.00,0.00,1.00,1.00
41,Exhibit Hall B2,96000.00,1692.66,200.00,0.00,2.00,1.00
42,Exhibit Hall B3,121500.00,1830.15,200.00,0.00,3.00,1.00
43,Exhibit Hall B4,149500.00,2641.65,200.00,0.00,4.00,1.00
44,Exhibit Hall B5,151000.00,2494.04,200.00,0.00,5.00,1.00
45,Exhibit Hall Meeting Room B101,6435.00,85.76,200.00,0.00,2.00,2.00
46,Exhibit Hall Meeting Room B102,7513.00,100.13,200.00,0.00,2.00,3.00
47,Exhibit Hall Meeting Room B103,6435.00,135.93,200.00,0.00,2.00,4.00
48,Meeting Room B201,1857.00,34.01,200.00,30.00,2.00,1.00
49,Meeting Room B202,2113.00,58.42,200.00,30.00,1.00,3.00
50,Meeting Room B203,3645.00,33.80,200.00,30.00,2.00,3.00
51,Meeting Room B204,2109.00,7.56,200.00,30.00,3.00,3.00
52,Meeting Room B205,471.00,105.67,200.00,30.00,4.00,3.00
53,Meeting Room B206,6638.00,43.89,200.00,30.00,5.00,3.00
54,Meeting Room B207,2799.00,87.66,200.00,30.00,7.00,4.00
55,Meeting Room B208,2803.00,24.57,200.00,30.00,8.00,4.00
56,Meeting Room B209,1572.00,24.88,200.00,30.00,9.00,4.00
57,Meeting Room B210,1564.00,46.69,200.00,30.00,11.00,4.00
58,Meeting Room B211,2803.00,89.27,200.00,30.00,12.00,4.00
59,Meeting Room B212,2803.00,43.08,200.00,30.00,13.00,4.00
60,Meeting Room B213,2617.00,94.04,200.00,30.00,18.00,4.00
61,Meeting Room B214,2616.00,37.90,200.00,30.00,19.00,4.00
62,Meeting Room B215,2070.00,42.44,200.00,30.00,24.00,4.00
63,Meeting Room B216,2607.00,83.13,200.00,30.00,25.00,4.00
64,Meeting Room B217,2607.00,33.37,200.00,30.00,26.00,4.00
65,Meeting Room B218,2075.00,33.96,200.00,30.00,27.00,4.00
66,Meeting Room B301,2120.00,44.17,200.00,60.00,1.00,3.00
67,Meeting Room B302,2773.00,98.41,200.00,60.00,1.00,5.00
68,Meeting Room B303,3115.00,104.13,200.00,60.00,2.00,5.00
69,Meeting Room B304,3115.00,51.96,200.00,60.00,3.00,5.00
70,Meeting Room B305,2773.00,46.73,200.00,60.00,4.00,5.00
71,Meeting Room B306,2120.00,36.75,200.00,60.00,4.00,3.00
72,Meeting Room B307,471.00,7.52,200.00,60.00,5.00,3.00
73,Meeting Room B308,3111.00,53.20,200.00,60.00,6.00,4.00
74,Meeting Room B309,3105.00,51.88,200.00,60.00,7.00,4.00
75,Meeting Room B310,2178.00,35.57,200.00,60.00,9.00,4.00
76,Meeting Room B311,2178.00,37.45,200.00,60.00,10.00,4.00
77,Meeting Room B312,3476.00,60.17,200.00,60.00,11.00,4.00
78,Meeting Room B313,4002.00,193.55,200.00,60.00,12.00,4.00
79,Meeting Room B313A,1994.00,40.44,200.00,60.00,11.50,4.00
80,Meeting Room B313B,1996.00,76.07,200.00,60.00,12.50,4.00
