name,startDate,endDate,rooms
Passion Conference 2015,42005,42007,"['Exhibit Hall A2', ' Exhibit Hall B2', ' Meeting Room A307', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A411-A412', ' Meeting Room B208', ' Meeting Room B302-B305', ' Meeting Room B312-B314', ' Meeting Room B405-B407']"
Honda Battle of the Bands,42028,42028,"['Marshalling Yard 2', ' Stadium', ' Thomas Murphy Ballroom 1-4', ' West Plaza']"
Monster Energy Supercross Atlanta II,42063,42063,"['Exhibit Halls C2-C4 Combined', ' Gold Deck Turnaround', ' Stadium', ' West Plaza']"
"SECO International, LLC",42067,42071,"['Building B Registration Hall', ' Executive Boardroom', ' Exhibit Hall B1', ' Exhibit Hall B4', ' Exhibit Halls B2-B3 Combined', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B313A', ' Meeting Room B313B', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B406A', ' Meeting Room B406B', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Thomas Murphy Ballroom 1-4']"
Hinman Dental Meeting,42089,42091,"['Building A Registration Hall', ' Building B Registration Hall', ' Exhibit Halls A1-A3 Combined', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B206', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B313A', ' Meeting Room B313B', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B406A', ' Meeting Room B406B', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-4']"
2015 Atlanta Science Festival,42091,42091,['All North Park']
2015 Big South Qualifier,42097,42099,"['A-B Connector Concourse', ' Building A-B Registration Hall', ' Building B-C Connector', ' Exhibit Halls A2-A3 Combined', ' Exhibit Halls B1-B5 Combined', ' Exhibit Halls C1-C4 Combined', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Meeting Room C103', ' Meeting Room C104', ' Meeting Room C105', ' Meeting Room C106', ' Meeting Room C107', ' Meeting Room C108', ' Meeting Room C109', ' Meeting Room C110', ' Meeting Room C201', ' Meeting Room C202', ' Meeting Room C203', ' Meeting Room C204', ' Meeting Room C205', ' Meeting Room C206', ' Meeting Room C207', ' Meeting Room C208', ' Meeting Room C209', ' Meeting Room C210', ' Meeting Room C211', ' Meeting Room C212', ' Meeting Room C213', ' Meeting Room C301', ' Meeting Room C302', ' Room C101 Auditorium', ' Room C102 Auditorium']"
Atlanta Independent School System Graduation,42208,42208,"['Meeting Room A401', ' Meeting Room A402', ' Sidney Marcus Auditorium', ' Sidney Marcus Auditorium Foyer', "" Sidney Marcus Auditorium Interpreter's Booth"", ' Sidney Marcus Auditorium Lounge']"
V-103 Car and Bike Show,42210,42210,"['Building B-C Connector West', ' Building C Registration Storage', ' Exhibit Hall C4', ' Exhibit Halls C1-C3 Combined', ' Hall C1 Show Office', ' Hall C2 Show Office', ' Hall C3a Show Office', ' Hall C3b Show Office', ' Marshalling Yard 2', ' Meeting Room C103', ' Meeting Room C104', ' Meeting Room C105-C106', ' Meeting Room C107', ' Meeting Room C108-C109', ' Meeting Room C110']"
Chick-fil-A Kickoff - Louisville vs. Auburn,42252,42252,"['Building B-C Connector', ' Building C Registration Storage', ' Exhibit Halls C1-C2 Combined', ' Georgia Ballroom 1-3', ' Hall C1 Show Office', ' International Plaza', ' Meeting Room C103', ' Meeting Room C104', ' Meeting Room C105', ' Meeting Room C105-C106', ' Meeting Room C106', ' Meeting Room C107', ' Meeting Room C108', ' Meeting Room C108-C109', ' Meeting Room C109', ' Meeting Room C110', ' Meeting Room C201', ' Meeting Room C202-C204', ' Meeting Room C205', ' Meeting Room C206', ' Meeting Room C207', ' Meeting Room C208', ' Meeting Room C208-C209', ' Meeting Room C208-C210', ' Meeting Room C209', ' Meeting Room C209-C210', ' Meeting Room C210', ' Meeting Room C211', ' Meeting Room C211-C212', ' Meeting Room C211-C213', ' Meeting Room C212', ' Meeting Room C212-C213', ' Meeting Room C213', ' Meeting Room C301', ' Meeting Room C302', ' Stadium', ' West Plaza']"
Wednesday WindDown,42277,42277,['Southern Company Amphitheater']
Celebration Bowl,42357,42357,['Stadium']
Hosea Feed The Hungry & Homeless,42363,42363,"['Building A-B Registration Hall', ' Thomas Murphy Ballroom 1-4']"
Dixie Nationals,42366,42367,['Exhibit Hall A1']
Herbalife 2016 January Kickoff,42385,42386,"['Thomas Murphy Ballroom 1', ' Thomas Murphy Ballroom 2-3', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Galleria']"
2016 International Production & Processing Expo,42395,42397,"['A-B Connector Concourse', ' Building A-B Registration Hall', ' Building B-C Connector', ' Executive Boardroom', ' Exhibit Hall A1', ' Exhibit Halls A1-A3 Combined', ' Exhibit Halls A2-A3 Combined', ' Exhibit Halls B1-B5 Combined', ' International Lounge', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302-B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Dressing Room 5', ' Thomas Murphy Ballroom Dressing Room 6', ' Thomas Murphy Ballroom Dressing Room 7', ' Thomas Murphy Ballroom Dressing Room 8', ' Thomas Murphy Ballroom Galleria']"
Honda Battle of the Bands,42399,42399,"['Georgia Ballroom 1-3', ' International Plaza', ' Meeting Room B401-B402', ' Stadium', ' Thomas Murphy Ballroom 1-4', ' West Plaza']"
Varsity Spirit Corp DBA CHEERSPORT,42413,42414,"['Building A-B Registration Hall', ' Building B-C Connector', ' Exhibit Halls A1-A3 Combined', ' Exhibit Halls B1-B5 Combined', ' Exhibit Halls C1-C2 Combined', ' Exhibit Halls C3-C4 Combined', ' Georgia Ballroom 1-3', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A306', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Meeting Room C103', ' Meeting Room C104', ' Meeting Room C105', ' Meeting Room C106', ' Meeting Room C107', ' Meeting Room C108', ' Meeting Room C109', ' Meeting Room C110', ' Meeting Room C201', ' Meeting Room C202', ' Meeting Room C203', ' Meeting Room C204', ' Meeting Room C205', ' Meeting Room C206', ' Meeting Room C207', ' Meeting Room C208', ' Meeting Room C209', ' Meeting Room C210', ' Meeting Room C211', ' Meeting Room C212', ' Meeting Room C213', ' Meeting Room C301', ' Meeting Room C302', ' Room C102 Auditorium', ' Thomas Murphy Ballroom 1-4']"
