,Room Name,DateIn,DateOut
137,Georgia Ballroom 1,2020/5/2,2020/5/2
138,Georgia Ballroom 2,2020/5/2,2020/5/2
139,Georgia Ballroom 3,2020/5/2,2020/5/2
0,Exhibit Hall A1,2019/11/11,2019/11/15
1,Exhibit Hall A2,2019/11/11,2019/11/15
6,Meeting Room A301,2019/11/11,2019/11/15
7,Meeting Room A302,2019/11/11,2019/11/15
8,Meeting Room A303,2019/11/11,2019/11/15
9,Meeting Room A304,2019/11/11,2019/11/15
10,Meeting Room A305,2019/11/11,2019/11/15
11,Meeting Room A306,2019/11/11,2019/11/15
12,Meeting Room A307,2019/11/11,2019/11/15
13,Meeting Room A308a,2019/11/11,2019/11/15
14,Meeting Room A308b,2019/11/11,2019/11/15
15,Meeting Room A309,2019/11/11,2019/11/15
16,Meeting Room A310,2019/11/11,2019/11/15
17,Meeting Room A311,2019/11/11,2019/11/15
18,Meeting Room A312,2019/11/11,2019/11/15
19,Meeting Room A313,2019/11/11,2019/11/15
20,Meeting Room A314,2019/11/11,2019/11/15
21,Meeting Room A315,2019/11/11,2019/11/15
22,Meeting Room A316,2019/11/11,2019/11/15
26,Meeting Room A401,2019/11/11,2019/11/15
27,Meeting Room A402,2019/11/11,2019/11/15
28,Meeting Room A403,2019/11/11,2019/11/15
29,Meeting Room A404,2019/11/11,2019/11/15
30,Meeting Room A405,2019/11/11,2019/11/15
31,Meeting Room A406,2019/11/11,2019/11/15
32,Meeting Room A407,2019/11/11,2019/11/15
33,Meeting Room A408,2019/11/11,2019/11/15
34,Meeting Room A409,2019/11/11,2019/11/15
35,Meeting Room A410,2019/11/11,2019/11/15
36,Meeting Room A411,2019/11/11,2019/11/15
37,Meeting Room A412,2019/11/11,2019/11/15
91,Meeting Room B403,2019/12/10,2019/12/13
92,Meeting Room B404,2019/12/10,2019/12/13
93,Meeting Room B405,2019/12/10,2019/12/13
94,Meeting Room B406,2019/12/10,2019/12/13
97,Meeting Room B407,2019/12/10,2019/12/13
98,Meeting Room B408,2019/12/10,2019/12/13
103,Thomas Murphy Ballroom 2,2019/12/10,2019/12/13
104,Thomas Murphy Ballroom 3,2019/12/10,2019/12/13
143,Exhibit Hall BC,2020/2/21,2020/3/3
106,Exhibit Hall C1,2020/2/21,2020/3/3
107,Exhibit Hall C2,2020/2/21,2020/3/3
108,Exhibit Hall C3,2020/2/21,2020/3/3
109,Exhibit Hall C4,2020/2/21,2020/3/3
114,Meeting Room C103,2020/2/21,2020/3/3
115,Meeting Room C104,2020/2/21,2020/3/3
116,Meeting Room C105,2020/2/21,2020/3/3
117,Meeting Room C106,2020/2/21,2020/3/3
118,Meeting Room C107,2020/2/21,2020/3/3
119,Meeting Room C108,2020/2/21,2020/3/3
120,Meeting Room C109,2020/2/21,2020/3/3
121,Meeting Room C110,2020/2/21,2020/3/3
24,Building A-B Registration Hall,2020/10/3,2020/10/10
0,Exhibit Hall A1,2020/10/3,2020/10/10
1,Exhibit Hall A2,2020/10/3,2020/10/10
2,Exhibit Hall A3,2020/10/3,2020/10/10
40,Exhibit Hall B1,2020/10/3,2020/10/10
41,Exhibit Hall B2,2020/10/3,2020/10/10
42,Exhibit Hall B3,2020/10/3,2020/10/10
6,Meeting Room A301,2020/10/3,2020/10/10
7,Meeting Room A302,2020/10/3,2020/10/10
8,Meeting Room A303,2020/10/3,2020/10/10
9,Meeting Room A304,2020/10/3,2020/10/10
10,Meeting Room A305,2020/10/3,2020/10/10
11,Meeting Room A306,2020/10/3,2020/10/10
12,Meeting Room A307,2020/10/3,2020/10/10
13,Meeting Room A308a,2020/10/3,2020/10/10
14,Meeting Room A308b,2020/10/3,2020/10/10
