<<<<<<< HEAD
RoomID,Name,DateIn,DateOut
1,Exhibit Hall A2,2014-12-31,2015-01-04
41,Exhibit Hall B2,2014-12-31,2015-01-04
12,Meeting Room A307,2014-12-31,2015-01-04
27,Meeting Room A402,2014-12-31,2015-01-04
28,Meeting Room A403,2014-12-31,2015-01-04
29,Meeting Room A404,2014-12-31,2015-01-04
36,Meeting Room A411,2014-12-31,2015-01-04
37,Meeting Room A412,2014-12-31,2015-01-04
55,Meeting Room B208,2014-12-31,2015-01-04
67,Meeting Room B302,2014-12-31,2015-01-04
68,Meeting Room B303,2014-12-31,2015-01-04
69,Meeting Room B304,2014-12-31,2015-01-04
70,Meeting Room B305,2014-12-31,2015-01-04
77,Meeting Room B312,2014-12-31,2015-01-04
78,Meeting Room B313,2014-12-31,2015-01-04
81,Meeting Room B314,2014-12-31,2015-01-04
93,Meeting Room B405,2014-12-31,2015-01-04
94,Meeting Room B406,2014-12-31,2015-01-04
97,Meeting Room B407,2014-12-31,2015-01-04
107,Exhibit Hall C2,2015-02-23,2015-03-01
108,Exhibit Hall C3,2015-02-23,2015-03-01
109,Exhibit Hall C4,2015-02-23,2015-03-01
87,Building B Registration Hall,2015-03-01,2015-03-09
25,Executive Boardroom,2015-03-01,2015-03-09
40,Exhibit Hall B1,2015-03-01,2015-03-09
43,Exhibit Hall B4,2015-03-01,2015-03-09
41,Exhibit Hall B2,2015-03-01,2015-03-09
42,Exhibit Hall B3,2015-03-01,2015-03-09
48,Meeting Room B201,2015-03-01,2015-03-09
49,Meeting Room B202,2015-03-01,2015-03-09
50,Meeting Room B203,2015-03-01,2015-03-09
51,Meeting Room B204,2015-03-01,2015-03-09
52,Meeting Room B205,2015-03-01,2015-03-09
53,Meeting Room B206,2015-03-01,2015-03-09
54,Meeting Room B207,2015-03-01,2015-03-09
55,Meeting Room B208,2015-03-01,2015-03-09
56,Meeting Room B209,2015-03-01,2015-03-09
57,Meeting Room B210,2015-03-01,2015-03-09
58,Meeting Room B211,2015-03-01,2015-03-09
59,Meeting Room B212,2015-03-01,2015-03-09
60,Meeting Room B213,2015-03-01,2015-03-09
61,Meeting Room B214,2015-03-01,2015-03-09
62,Meeting Room B215,2015-03-01,2015-03-09
63,Meeting Room B216,2015-03-01,2015-03-09
64,Meeting Room B217,2015-03-01,2015-03-09
65,Meeting Room B218,2015-03-01,2015-03-09
66,Meeting Room B301,2015-03-01,2015-03-09
67,Meeting Room B302,2015-03-01,2015-03-09
68,Meeting Room B303,2015-03-01,2015-03-09
69,Meeting Room B304,2015-03-01,2015-03-09
70,Meeting Room B305,2015-03-01,2015-03-09
71,Meeting Room B306,2015-03-01,2015-03-09
72,Meeting Room B307,2015-03-01,2015-03-09
73,Meeting Room B308,2015-03-01,2015-03-09
74,Meeting Room B309,2015-03-01,2015-03-09
75,Meeting Room B310,2015-03-01,2015-03-09
76,Meeting Room B311,2015-03-01,2015-03-09
77,Meeting Room B312,2015-03-01,2015-03-09
78,Meeting Room B313,2015-03-01,2015-03-09
79,Meeting Room B313A,2015-03-01,2015-03-09
80,Meeting Room B313B,2015-03-01,2015-03-09
81,Meeting Room B314,2015-03-01,2015-03-09
82,Meeting Room B315,2015-03-01,2015-03-09
83,Meeting Room B316,2015-03-01,2015-03-09
84,Meeting Room B317,2015-03-01,2015-03-09
85,Meeting Room B318,2015-03-01,2015-03-09
86,Meeting Room B319,2015-03-01,2015-03-09
89,Meeting Room B401,2015-03-01,2015-03-09
90,Meeting Room B402,2015-03-01,2015-03-09
91,Meeting Room B403,2015-03-01,2015-03-09
92,Meeting Room B404,2015-03-01,2015-03-09
93,Meeting Room B405,2015-03-01,2015-03-09
94,Meeting Room B406,2015-03-01,2015-03-09
95,Meeting Room B406A,2015-03-01,2015-03-09
96,Meeting Room B406B,2015-03-01,2015-03-09
97,Meeting Room B407,2015-03-01,2015-03-09
98,Meeting Room B408,2015-03-01,2015-03-09
99,Meeting Room B409,2015-03-01,2015-03-09
100,Meeting Room B411,2015-03-01,2015-03-09
102,Thomas Murphy Ballroom 1,2015-03-01,2015-03-09
103,Thomas Murphy Ballroom 2,2015-03-01,2015-03-09
104,Thomas Murphy Ballroom 3,2015-03-01,2015-03-09
105,Thomas Murphy Ballroom 4,2015-03-01,2015-03-09
23,Building A Registration Hall,2015-03-22,2015-03-30
87,Building B Registration Hall,2015-03-22,2015-03-30
0,Exhibit Hall A1,2015-03-22,2015-03-30
1,Exhibit Hall A2,2015-03-22,2015-03-30
2,Exhibit Hall A3,2015-03-22,2015-03-30
6,Meeting Room A301,2015-03-22,2015-03-30
7,Meeting Room A302,2015-03-22,2015-03-30
8,Meeting Room A303,2015-03-22,2015-03-30
9,Meeting Room A304,2015-03-22,2015-03-30
10,Meeting Room A305,2015-03-22,2015-03-30
11,Meeting Room A306,2015-03-22,2015-03-30
12,Meeting Room A307,2015-03-22,2015-03-30
13,Meeting Room A308a,2015-03-22,2015-03-30
14,Meeting Room A308b,2015-03-22,2015-03-30
15,Meeting Room A309,2015-03-22,2015-03-30
16,Meeting Room A310,2015-03-22,2015-03-30
17,Meeting Room A311,2015-03-22,2015-03-30
18,Meeting Room A312,2015-03-22,2015-03-30
19,Meeting Room A313,2015-03-22,2015-03-30
20,Meeting Room A314,2015-03-22,2015-03-30
21,Meeting Room A315,2015-03-22,2015-03-30
22,Meeting Room A316,2015-03-22,2015-03-30
26,Meeting Room A401,2015-03-22,2015-03-30
27,Meeting Room A402,2015-03-22,2015-03-30
28,Meeting Room A403,2015-03-22,2015-03-30
29,Meeting Room A404,2015-03-22,2015-03-30
30,Meeting Room A405,2015-03-22,2015-03-30
31,Meeting Room A406,2015-03-22,2015-03-30
32,Meeting Room A407,2015-03-22,2015-03-30
33,Meeting Room A408,2015-03-22,2015-03-30
34,Meeting Room A409,2015-03-22,2015-03-30
35,Meeting Room A410,2015-03-22,2015-03-30
36,Meeting Room A411,2015-03-22,2015-03-30
37,Meeting Room A412,2015-03-22,2015-03-30
53,Meeting Room B206,2015-03-22,2015-03-30
66,Meeting Room B301,2015-03-22,2015-03-30
67,Meeting Room B302,2015-03-22,2015-03-30
68,Meeting Room B303,2015-03-22,2015-03-30
69,Meeting Room B304,2015-03-22,2015-03-30
70,Meeting Room B305,2015-03-22,2015-03-30
71,Meeting Room B306,2015-03-22,2015-03-30
72,Meeting Room B307,2015-03-22,2015-03-30
73,Meeting Room B308,2015-03-22,2015-03-30
74,Meeting Room B309,2015-03-22,2015-03-30
75,Meeting Room B310,2015-03-22,2015-03-30
76,Meeting Room B311,2015-03-22,2015-03-30
77,Meeting Room B312,2015-03-22,2015-03-30
78,Meeting Room B313,2015-03-22,2015-03-30
79,Meeting Room B313A,2015-03-22,2015-03-30
80,Meeting Room B313B,2015-03-22,2015-03-30
81,Meeting Room B314,2015-03-22,2015-03-30
82,Meeting Room B315,2015-03-22,2015-03-30
83,Meeting Room B316,2015-03-22,2015-03-30
84,Meeting Room B317,2015-03-22,2015-03-30
85,Meeting Room B318,2015-03-22,2015-03-30
86,Meeting Room B319,2015-03-22,2015-03-30
89,Meeting Room B401,2015-03-22,2015-03-30
90,Meeting Room B402,2015-03-22,2015-03-30
91,Meeting Room B403,2015-03-22,2015-03-30
92,Meeting Room B404,2015-03-22,2015-03-30
93,Meeting Room B405,2015-03-22,2015-03-30
94,Meeting Room B406,2015-03-22,2015-03-30
95,Meeting Room B406A,2015-03-22,2015-03-30
96,Meeting Room B406B,2015-03-22,2015-03-30
97,Meeting Room B407,2015-03-22,2015-03-30
98,Meeting Room B408,2015-03-22,2015-03-30
99,Meeting Room B409,2015-03-22,2015-03-30
39,Sidney Marcus Auditorium,2015-03-22,2015-03-30
102,Thomas Murphy Ballroom 1,2015-03-22,2015-03-30
103,Thomas Murphy Ballroom 2,2015-03-22,2015-03-30
104,Thomas Murphy Ballroom 3,2015-03-22,2015-03-30
105,Thomas Murphy Ballroom 4,2015-03-22,2015-03-30
24,Building A-B Registration Hall,2015-03-30,2015-04-05
1,Exhibit Hall A2,2015-03-30,2015-04-05
2,Exhibit Hall A3,2015-03-30,2015-04-05
40,Exhibit Hall B1,2015-03-30,2015-04-05
41,Exhibit Hall B2,2015-03-30,2015-04-05
42,Exhibit Hall B3,2015-03-30,2015-04-05
43,Exhibit Hall B4,2015-03-30,2015-04-05
44,Exhibit Hall B5,2015-03-30,2015-04-05
106,Exhibit Hall C1,2015-03-30,2015-04-05
107,Exhibit Hall C2,2015-03-30,2015-04-05
108,Exhibit Hall C3,2015-03-30,2015-04-05
109,Exhibit Hall C4,2015-03-30,2015-04-05
6,Meeting Room A301,2015-03-30,2015-04-05
7,Meeting Room A302,2015-03-30,2015-04-05
8,Meeting Room A303,2015-03-30,2015-04-05
9,Meeting Room A304,2015-03-30,2015-04-05
10,Meeting Room A305,2015-03-30,2015-04-05
11,Meeting Room A306,2015-03-30,2015-04-05
12,Meeting Room A307,2015-03-30,2015-04-05
13,Meeting Room A308a,2015-03-30,2015-04-05
14,Meeting Room A308b,2015-03-30,2015-04-05
15,Meeting Room A309,2015-03-30,2015-04-05
