Event ID,AT,Cost,Booked Spaces,New Rooms,OG Spread,New Spread
5135,6465.35,14508.07934,"['Building A Registration Hall', ' Building B Registration Hall', ' Exhibit Halls B1-B5 Combined', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313-A314', ' Meeting Room A315-A316', ' Meeting Room A401', ' Meeting Room A402-A403', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A404-A405', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A411-A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Galleria']","['Exhibit Hall B2', 'Exhibit Hall B3', 'Exhibit Hall B4', 'Exhibit Hall B5', 'Exhibit Hall Meeting Room B102', 'Exhibit Hall Meeting Room B103', 'Meeting Room B201', 'Meeting Room B202', 'Meeting Room B203', 'Meeting Room B205', 'Meeting Room B206', 'Meeting Room B207', 'Meeting Room B208', 'Meeting Room B209', 'Meeting Room B211', 'Meeting Room B212', 'Meeting Room B213', 'Meeting Room B214', 'Meeting Room B215', 'Meeting Room B217', 'Meeting Room B218', 'Meeting Room B301', 'Meeting Room B302', 'Meeting Room B303', 'Meeting Room B304', 'Meeting Room B305', 'Meeting Room B306', 'Meeting Room B307', 'Meeting Room B308', 'Meeting Room B309', 'Meeting Room B310', 'Meeting Room B311', 'Meeting Room B312', 'Meeting Room B313A', 'Meeting Room B313B', 'Meeting Room B314', 'Meeting Room B315', 'Meeting Room B316', 'Meeting Room B317', 'Meeting Room B318', 'Meeting Room B319', 'Building B Registration Hall', 'Meeting Room B401', 'Meeting Room B402', 'Meeting Room B403', 'Meeting Room B404', 'Meeting Room B405', 'Meeting Room B406A', 'Meeting Room B406B', 'Meeting Room B407', 'Meeting Room B408', 'Meeting Room B409', 'Meeting Room B411', 'Exhibit Hall Meeting Room C111', 'Exhibit Hall Meeting Room C112', 'Meeting Room C103', 'Meeting Room C104', 'Meeting Room C106', 'Meeting Room C108', 'Meeting Room C110', 'Meeting Room C201', 'Meeting Room C202', 'Meeting Room C203', 'Meeting Room C204', 'Meeting Room C205', 'Meeting Room C207', 'Meeting Room C208', 'Meeting Room C209', 'Meeting Room C210', 'Meeting Room C211', 'Meeting Room C212', 'Meeting Room C213', 'Meeting Room C301']",1,1
5213,6566.4,25404.2512,"['Building B Registration Hall', ' Exhibit Halls B1-B3 Combined', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A307', ' Meeting Room A309', ' Meeting Room A311-A312', ' Meeting Room A313-A314', ' Meeting Room A315-A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Dressing Room 5', ' Thomas Murphy Ballroom Dressing Room 6', ' Thomas Murphy Ballroom Dressing Room 7', ' Thomas Murphy Ballroom Dressing Room 8', ' Thomas Murphy Ballroom Galleria']","['Exhibit Hall B4', 'Exhibit Hall B5', 'Exhibit Hall Meeting Room B101', 'Exhibit Hall Meeting Room B102', 'Exhibit Hall Meeting Room B103', 'Meeting Room B201', 'Meeting Room B202', 'Meeting Room B203', 'Meeting Room B204', 'Meeting Room B205', 'Meeting Room B206', 'Meeting Room B207', 'Meeting Room B208', 'Meeting Room B209', 'Meeting Room B210', 'Meeting Room B211', 'Meeting Room B212', 'Meeting Room B213', 'Meeting Room B214', 'Meeting Room B215', 'Meeting Room B216', 'Meeting Room B217', 'Meeting Room B218', 'Meeting Room B301', 'Meeting Room B302', 'Meeting Room B303', 'Meeting Room B304', 'Meeting Room B305', 'Meeting Room B306', 'Meeting Room B307', 'Meeting Room B308', 'Meeting Room B309', 'Meeting Room B310', 'Meeting Room B311', 'Meeting Room B312', 'Meeting Room B313A', 'Meeting Room B313B', 'Meeting Room B314', 'Meeting Room B315', 'Meeting Room B316', 'Meeting Room B317', 'Meeting Room B318', 'Meeting Room B319', 'Building B Registration Hall', 'Meeting Room B401', 'Meeting Room B403', 'Meeting Room B405', 'Meeting Room B407', 'Meeting Room B408', 'Meeting Room B411', 'Authority Boardroom', 'Exhibit Hall Meeting Room C111', 'Exhibit Hall Meeting Room C112', 'Exhibit Hall Meeting Room C113', 'Exhibit Hall Meeting Room C114', 'Meeting Room C103', 'Meeting Room C104', 'Meeting Room C105', 'Meeting Room C106', 'Meeting Room C107', 'Meeting Room C108', 'Meeting Room C109', 'Meeting Room C110', 'Room C101 Auditorium', 'Meeting Room C201', 'Meeting Room C202', 'Meeting Room C203', 'Meeting Room C204', 'Meeting Room C205', 'Meeting Room C206', 'Meeting Room C207', 'Meeting Room C208', 'Meeting Room C209', 'Meeting Room C210', 'Meeting Room C211', 'Meeting Room C212', 'Meeting Room C213']",1,1
5356,40147.65,19636.63108,"A-B Connector Concourse, Building A-B Registration Hall, Building B-C Connector, Executive Boardroom, Exhibit Hall A1, Exhibit Hall A2, Exhibit Hall A3, Exhibit Halls B1-B5 Combined, Exhibit Halls C1-C4 Combined, Georgia Ballroom 1-3, Hall C1 Show Office, Hall C2 Show Office, Hall C3a Show Office, Hall C3b Show Office, Hall C4 Show Office, International Conference Room, Meeting Room A301, Meeting Room A302, Meeting Room A303, Meeting Room A304, Meeting Room A305, Meeting Room A306, Meeting Room A307, Meeting Room A308a, Meeting Room A308b, Meeting Room A309, Meeting Room A310, Meeting Room A311, Meeting Room A312, Meeting Room A313, Meeting Room A314, Meeting Room A315, Meeting Room A316, Meeting Room A401, Meeting Room A402, Meeting Room A403, Meeting Room A404, Meeting Room A405, Meeting Room A406, Meeting Room A407, Meeting Room A408, Meeting Room A409, Meeting Room A410, Meeting Room A411, Meeting Room A412, Meeting Room B201, Meeting Room B202, Meeting Room B203, Meeting Room B204, Meeting Room B205, Meeting Room B206, Meeting Room B207, Meeting Room B208, Meeting Room B209, Meeting Room B210, Meeting Room B211, Meeting Room B212, Meeting Room B213, Meeting Room B214, Meeting Room B215, Meeting Room B216, Meeting Room B217, Meeting Room B218, Meeting Room B301, Meeting Room B302, Meeting Room B303, Meeting Room B304, Meeting Room B305, Meeting Room B306, Meeting Room B307, Meeting Room B308, Meeting Room B309, Meeting Room B310, Meeting Room B311, Meeting Room B312, Meeting Room B313, Meeting Room B314, Meeting Room B315, Meeting Room B316, Meeting Room B317, Meeting Room B318, Meeting Room B319, Meeting Room B401, Meeting Room B401-B402, Meeting Room B402, Meeting Room B403, Meeting Room B404, Meeting Room B405, Meeting Room B406, Meeting Room B407, Meeting Room B408, Meeting Room B409, Meeting Room B411, Meeting Room C103, Meeting Room C104, Meeting Room C105, Meeting Room C106, Meeting Room C107, Meeting Room C108, Meeting Room C109, Meeting Room C110, Meeting Room C201, Meeting Room C202, Meeting Room C203, Meeting Room C204, Meeting Room C205, Meeting Room C206, Meeting Room C207, Meeting Room C208, Meeting Room C209, Meeting Room C210, Meeting Room C211, Meeting Room C212, Meeting Room C213, Meeting Room C301, Meeting Room C302, Room C101 Auditorium, Room C102 Auditorium, Sidney Marcus Auditorium, Thomas Murphy Ballroom 1-4","['Exhibit Hall B1', 'Exhibit Hall B2', 'Exhibit Hall B3', 'Exhibit Hall B5', 'Exhibit Hall C1', 'Exhibit Hall C2', 'Exhibit Hall C3', 'Exhibit Hall C4', 'Georgia Ballroom 1', 'Georgia Ballroom 2', 'Georgia Ballroom 3', 'Exhibit Hall BC']",1,1
5421,12077.41,0,"Building B Registration Hall, Exhibit Hall B1, Exhibit Halls B2-B4 Combined, Meeting Room B201, Meeting Room B202, Meeting Room B203, Meeting Room B204, Meeting Room B205, Meeting Room B206, Meeting Room B207, Meeting Room B208, Meeting Room B209, Meeting Room B210, Meeting Room B211, Meeting Room B212, Meeting Room B213, Meeting Room B214, Meeting Room B215, Meeting Room B216, Meeting Room B217, Meeting Room B218, Meeting Room B301, Meeting Room B302, Meeting Room B303, Meeting Room B304, Meeting Room B305, Meeting Room B306, Meeting Room B307, Meeting Room B308, Meeting Room B309, Meeting Room B310, Meeting Room B311, Meeting Room B312, Meeting Room B313, Meeting Room B314, Meeting Room B315, Meeting Room B316, Meeting Room B317, Meeting Room B318, Meeting Room B319, Meeting Room B401, Meeting Room B402, Meeting Room B403, Meeting Room B404, Meeting Room B405, Meeting Room B406, Meeting Room B407, Meeting Room B408, Meeting Room B409, Meeting Room B411, Thomas Murphy Ballroom 1-4",[],0,0
5665,13481.95,9500.105609,"Exhibit Halls C1-C2 Combined, Exhibit Halls C3-C4 Combined, Georgia Ballroom 1-3, Meeting Room C103, Meeting Room C104, Meeting Room C105, Meeting Room C106, Meeting Room C107, Meeting Room C108, Meeting Room C109, Meeting Room C110, Meeting Room C201, Meeting Room C202, Meeting Room C203, Meeting Room C204, Meeting Room C205, Meeting Room C206, Meeting Room C207, Meeting Room C208, Meeting Room C209, Meeting Room C210, Meeting Room C211, Meeting Room C212, Meeting Room C213, Meeting Room C301, Meeting Room C302, Room C101 Auditorium, Room C102 Auditorium","['Exhibit Hall C1', 'Exhibit Hall C3', 'Exhibit Hall C4', 'Georgia Ballroom 1', 'Georgia Ballroom 2', 'Georgia Ballroom 3', 'Exhibit Hall BC']",0,1
9559,10374.14,9516.922938,"['Executive Boardroom', ' Exhibit Hall A1', ' Exhibit Hall A2', ' Exhibit Hall Meeting Room A101', ' Exhibit Hall Meeting Room A102', ' Exhibit Hall Meeting Room A103', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-4']","['Exhibit Hall A1', 'Exhibit Hall A2', 'Exhibit Hall Meeting Room A101', 'Exhibit Hall Meeting Room A102', 'Exhibit Hall Meeting Room A103', 'Meeting Room A301', 'Meeting Room A302', 'Meeting Room A303', 'Meeting Room A304', 'Meeting Room A305', 'Meeting Room A306', 'Meeting Room A307', 'Meeting Room A309', 'Meeting Room A310', 'Meeting Room A311', 'Meeting Room A312', 'Meeting Room A313', 'Meeting Room A314', 'Meeting Room A315', 'Meeting Room A316', 'Executive Boardroom', 'Meeting Room A401', 'Meeting Room A402', 'Meeting Room A403', 'Meeting Room A404', 'Meeting Room A405', 'Meeting Room A406', 'Meeting Room A407', 'Meeting Room A408', 'Meeting Room A409', 'Meeting Room A410', 'Meeting Room A411', 'Meeting Room A412', 'Meeting Room A412A', 'Sidney Marcus Auditorium', 'Exhibit Hall Meeting Room B101']",0,1
10834,11758.51,25819.71709,"['Building B Loading Docks', ' Building B-C Connector West', ' Building C Registration Storage', ' Exhibit Hall B1', ' Exhibit Hall B2', ' Exhibit Hall B3', ' Exhibit Hall C4', ' Exhibit Halls C1-C3 Combined', ' Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Galleria', ' Georgia Ballroom Patio', ' Hall C1 Show Office', ' Hall C2 Show Office', ' Hall C3a Show Office', ' Hall C3b Show Office', ' Hall C4 Show Office', ' Meeting Room C103', ' Meeting Room C104', ' Meeting Room C105', ' Meeting Room C106', ' Meeting Room C107', ' Meeting Room C108', ' Meeting Room C109', ' Meeting Room C110', ' Meeting Room C201', ' Meeting Room C202', ' Meeting Room C203', ' Meeting Room C204', ' Meeting Room C205', ' Meeting Room C206', ' Meeting Room C207', ' Meeting Room C208', ' Meeting Room C209', ' Meeting Room C210', ' Meeting Room C211', ' Meeting Room C212', ' Meeting Room C213', ' Meeting Room C301', ' Meeting Room C302', ' Room C101 Auditorium', ' Room C102 Auditorium']","['Sidney Marcus Auditorium', 'Exhibit Hall B1', 'Exhibit Hall B2', 'Exhibit Hall B3', 'Exhibit Hall B4', 'Meeting Room B301', 'Meeting Room B302', 'Meeting Room B303', 'Meeting Room B304', 'Meeting Room B305', 'Meeting Room B306', 'Meeting Room B308', 'Meeting Room B309', 'Meeting Room B310', 'Meeting Room B311', 'Meeting Room B312', 'Building B Registration Hall', 'Meeting Room B401', 'Meeting Room B402', 'Meeting Room B403', 'Meeting Room B404', 'Meeting Room B405', 'Meeting Room B406A', 'Meeting Room B406B', 'Meeting Room B407', 'Meeting Room B408', 'Meeting Room B409', 'Authority Boardroom', 'Thomas Murphy Ballroom 1', 'Thomas Murphy Ballroom 2', 'Thomas Murphy Ballroom 3', 'Meeting Room C105', 'Room C102 Auditorium']",1,1
11707,4676.48,4324.193203,"['Exhibit Hall C1', ' Exhibit Hall C2', ' West Plaza']","['Exhibit Hall B3', 'Exhibit Hall B5']",0,0
13695,40012.31,0,"['Building A-B Registration Hall', ' Exhibit Hall A1', ' Exhibit Hall A2', ' Exhibit Hall A3', ' Exhibit Hall B1', ' Exhibit Hall B2', ' Exhibit Hall B3', ' Exhibit Hall B4', ' Exhibit Hall B5', ' Exhibit Hall C1', ' Exhibit Hall C2', ' Exhibit Hall C3', ' Exhibit Hall C4', ' Exhibit Halls A1-A3 Combined', ' Exhibit Halls B1-B5 Combined', ' Exhibit Halls C1-C4 Combined', ' Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Green Room', ' Hall C1 Show Office', ' Hall C2 Show Office', ' Hall C3a Show Office', ' Hall C3b Show Office', ' Hall C4 Show Office', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Meeting Room C103', ' Meeting Room C104', ' Meeting Room C105', ' Meeting Room C106', ' Meeting Room C107', ' Meeting Room C108', ' Meeting Room C109', ' Meeting Room C110', ' Meeting Room C201', ' Meeting Room C202', ' Meeting Room C203', ' Meeting Room C204', ' Meeting Room C205', ' Meeting Room C206', ' Meeting Room C207', ' Meeting Room C208', ' Meeting Room C209', ' Meeting Room C210', ' Meeting Room C211', ' Meeting Room C212', ' Meeting Room C213', ' Meeting Room C301', ' Meeting Room C302', ' Room C101 Auditorium', ' Room C102 Auditorium', ' Sidney Marcus Auditorium', ' Sidney Marcus Auditorium Foyer', "" Sidney Marcus Auditorium Interpreter's Booth"", ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Galleria']",[],1,0
14551,9113.82,9064.075137,"['Exhibit Hall A1', ' Exhibit Hall A2', ' Exhibit Hall A3', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410']","['Exhibit Hall A1', 'Exhibit Hall A2', 'Exhibit Hall A3', 'Meeting Room A301', 'Meeting Room A302', 'Meeting Room A303', 'Meeting Room A304', 'Meeting Room A305', 'Meeting Room A306', 'Meeting Room A307', 'Meeting Room A308a', 'Meeting Room A308b', 'Meeting Room A310', 'Meeting Room A311', 'Meeting Room A312', 'Meeting Room A313', 'Meeting Room A314', 'Meeting Room A315', 'Meeting Room A316']",0,0
