Index,IndexReal,Event ID,Description,Start Date,End Date,Sq. Ft,Exhibit Halls,Auditorium,Ballrooms,Meeting Rooms,Min SQFT
1,51,5135,Fire-Rescue International 2019,43679,43688,0,5,0,0,68,458
2,33,5213,American Society for Mass Spectrometry,43616,43623,0,3,1,0,73,458
3,20,5356,National Association of Convenience Stores (NACS) 2019,43731,43745,0,9,0,3,0,7685
4,12,5421,GlassBuild America 2019,43719,43730,0,3,0,0,1,8260
5,19,5665,Medtrade Conference & Expo 2019,43756,43763,0,4,0,3,0,7685
6,35,9559,Association of Women's Health Obstetric & Neonatal Nurses,43622,43628,0,2,1,0,33,454
7,52,10834,Bronner Bros. International Beauty Show,43691,43697,0,5,2,3,23,1164
8,46,11707,Peachtree Road Race Expo,43645,43649,0,2,0,0,0,103000
9,39,13695,Primerica International Convention,43631,43639,0,24,3,3,100,454
10,42,14551,Forest Products 2019,43639,43646,0,3,0,0,16,454
11,49,16477,Atlanta Comic Con,43657,43661,0,3,2,0,8,1164
12,28,17013,Walker Stalker Con,43754,43759,0,3,0,0,1,8260
13,2,17147,Ace Hardware Fall Convention & Exhibits,43704,43718,0,3,0,0,0,8260
14,9,17871,Empire Mock Trials,43728,43731,0,0,0,0,1,2593
15,1,18130,2019 National Minority Supplier Development Council Conference,43745,43757,0,0,0,0,1,8260
16,31,19238,Savannah College of Art and Design Graduation,43613,43617,0,0,0,3,7,1610
17,32,19313,The Ultimate Women's Expo,43615,43619,0,3,0,0,1,950
18,37,19318,Freeman - PRIMERICA,43628,43640,0,0,0,0,0,0
19,38,20048,HOT 107.9 Birthday Bash Block Party,43630,43631,0,0,0,0,0,0
20,36,20119,Microsoft Business Applications Insights Summit (MBAS) 2019,43621,43628,0,4,2,3,75,458
21,23,20212,Power Up Summit 2019,43728,43730,0,0,0,0,0,8260
22,6,20246,Crime is Toast Breakfast,43724,43725,0,0,0,3,0,7685
23,47,20373,American Association of Physicians of Indian Origin,43648,43653,0,1,1,0,31,454
24,7,20386,Culture Keepers 2019,43730,43733,0,0,0,3,0,7685
25,25,20611,Salesforce World Tour 2019 (ATL),43723,43727,0,1,0,0,0,103000
26,26,20660,Smart City Expo Atlanta,43717,43723,0,1,0,0,0,103000
27,4,20688,Atlanta Food & Wine Show,43724,43726,0,1,0,0,0,86000
28,24,20915,Ready to Execute,43714,43721,0,0,0,1,0,7685
29,43,21014,Fire ATL 2019,43642,43646,0,0,1,0,5,1331
30,14,21096,Herzing University Commencement,43714,43714,0,0,0,3,0,7685
31,21,21144,Numbers too Big to Ignore Luncheon,43746,43748,0,0,0,0,2,3105
32,16,21162,Kaiser Permanente (KP) Walk,43718,43719,0,3,0,0,0,91100
33,30,21162,Kaiser Permanente (KP) Walk,43718,43719,0,0,0,0,0,91100
34,15,21182,HR Star Conference,43713,43713,0,0,0,0,1,1898
35,44,21237,Story Night,43644,43644,0,0,0,0,2,3105
36,34,21416,The City of Atlanta Business Expo,43620,43621,0,1,0,0,5,454
37,27,21418,Star City Games,43764,43765,0,28,0,22,12,103000
38,17,21429,LIT Conference,43727,43729,0,0,0,0,1,2342
39,45,21504,MCCD Family Reunion,43645,43645,0,0,0,0,0,0
40,40,21786,UPS Road Code - Boys & Girls Club Safe Driving,43636,43636,0,0,0,0,0,0
41,48,21821,4th of July Celebration/Security Office - July 4th,43647,43651,0,0,0,0,0,0
42,18,21858,Mayor's Seasoned Ball 2019,43747,43751,0,0,0,0,0,0
43,0,22208,2019 CVC Impact Awards,43725,43726,0,0,0,0,2,5488
44,41,22215,Georgia Lodging Industry Forecast,43640,43641,0,0,0,0,2,5488
45,5,22211,Atlanta National Portfolio Day,43722,43722,0,0,0,0,0,0
46,50,22400,Greenland,43668,43679,0,7,0,0,0,86000
47,11,22402,Ghost Draft,43725,43754,0,1,0,3,0,7685
48,29,22492,Student Ambassador Program  Kick Off,43720,43720,0,0,0,0,0,8568
49,10,22700,Four Pillar Tribute,43747,43749,0,0,0,3,0,7685
50,3,22849,Annual Leadership Conference,43759,43760,0,0,0,0,1,460
51,8,22975,EBO Event,43754,43754,0,0,0,0,2,3476
52,22,23024,"Paint, Mingle, Drink",43721,43721,0,1,0,0,0,105000
53,13,23195,Golden Technologies Inc,43758,43759,0,0,0,0,2,3105
