index,Space Name,Sq. Footage,'Expense/Day',Building,F,X,Y,Occupied,,Additional Questions ,Enter Here 
0,Exhibit Hall A1,149000,2859.003714,0,0,1,1,0,1811754,In Date (MM/DD/YYYY),
1,Exhibit Hall A2,86000,2204.770109,0,0,2,1,0,,Out Date (MM/DD/YYYY),
2,Exhibit Hall A3,105000,3025.113494,0,0,3,1,0,,SQFT Requested (ft^2),12963
3,Exhibit Hall Meeting Room A101,7667,192.10394,0,0,3,1,0,,Number of Exhibit Halls requested? ,0
4,Exhibit Hall Meeting Room A102,7667,192.10394,0,0,3,2,0,,Number of Auditoriums requested? ,0
5,Exhibit Hall Meeting Room A103,7667,192.10394,0,0,3,3,0,,Number of Ballrooms requested? ,0
6,Meeting Room A301,2863,82.16289212,0,60,1,2,0,,Number of Meeting Rooms?,4
7,Meeting Room A302,4239,120.3838227,0,60,2,1,0,,Min SQFT,1800
8,Meeting Room A303,1331,40.1776721,0,60,3,1,0,,,
9,Meeting Room A304,1331,37.64608135,0,60,3,2,0,,,
10,Meeting Room A305,4272,125.6800979,0,60,2,2,0,,,
11,Meeting Room A306,534,12.38480147,0,60,1,3,0,,,
12,Meeting Room A307,1897,53.64350712,0,60,8,4,0,,,
13,Meeting Room A308a,454,12.50482226,0,60,9,4,0,,,
14,Meeting Room A308b,486,13.38621942,0,60,10,4,0,,,
15,Meeting Room A309,1897,52.73162804,0,60,13,4,0,,,
16,Meeting Room A310,950,28.11397709,0,60,13,2,0,,,
17,Meeting Room A311,2647,81.73476929,0,60,9,1,0,,,
18,Meeting Room A312,2625,80.25546123,0,60,8,1,0,,,
19,Meeting Room A313,2386,82.16211005,0,60,7,1,0,,,
20,Meeting Room A314,2561,88.18824972,0,60,6,1,0,,,
21,Meeting Room A315,1812,58.3173002,0,60,5,2,0,,,
22,Meeting Room A316,1816,58.44603596,0,60,5,1,0,,,
23,Building A Registration Hall,10162,285.2436641,0,90,3,6,0,,,
24,Building A-B Registration Hall,20324,639.165945,0,90,3,6,0,,,
25,Executive Boardroom,2593,120.3838438,0,90,1,4,0,,,
26,Meeting Room A401,1220,65.3820137,0,90,4,4,0,,,
27,Meeting Room A402,1898,120.0524804,0,90,5,4,0,,,
28,Meeting Room A403,1901,82.53894437,0,90,6,4,0,,,
29,Meeting Room A404,4096,72.71807295,0,90,7,4,0,,,
