,Event ID,Description,Start Date,End Date,Status,Type,Booked Spaces,Firm (Booked Date),Forecast Attendance,Actual Attendance (Attendee + Exhibitor),In Date,Out Date,Booking Entered On (Client Contact Date),SQFT per Event,F&B Minimum Per Contract:,Total Room Nights,Ordered Rent Total,eventDuration,bookingTillStart,contactTillStart,totalEventDuration,startDoW,endDoW,isWeekend,isHoliday,isHolidayTotal,isStadium,Frequency,Recur (Y/N),O,U,P-A,P-B,P-C,M-A2,E-A3,E-A1,E-A2,E-B1,E-B2,E-B3,E-C1,M-A5,M-B2,M-C4,BA-C,M-A1,P,M-A4,M-A3,M-B3,M-B4,M-B1,M-B5,M-C1,M-C2,M-C3,BA-A,BA-B,Expense
0,6179,Passion Conference 2015,42005,2015/1/3,Confirmed (56),CONV,"['Exhibit Hall A2', ' Exhibit Hall B2', ' Meeting Room A307', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A411-A412', ' Meeting Room B208', ' Meeting Room B302-B305', ' Meeting Room B312-B314', ' Meeting Room B405-B407']",41796,18000,19000,42004,2015/1/4,41431,1284565,0,10717,67500,3,209,574,5,3,5,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8,0,0,0,3,0,0,0,21,48,0,14,0,0,0,0,0,1848
1,5045,AutoTrader.com 2015 Annual Meeting,42010,2015/1/8,Confirmed (56),CONF,"['Building A Registration Hall', ' Exhibit Hall A1', ' Exhibit Hall A2', ' Exhibit Hall A3', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B401', ' Meeting Room B402', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-4']",39923,2500,1300,42005,2015/1/8,41326,2586620,340000,3000,102671.25,3,2087,684,8,1,3,0,0,1,0,1,0,0,0,1,0,0,7,1,1,1,0,0,0,0,2,0,0,0,17,1,2,1,0,2,0,0,0,0,0,1,1,nomatch
2,9062,Girl Scouts of Greater Atlanta,42013,2015/1/11,Confirmed (56),MEET,"['Exhibit Hall A2', ' Meeting Room A308a', ' Meeting Room A308b']",41912,1000,1336,42013,2015/1/11,41810,259880,0,1,8500,3,101,203,3,4,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
3,5883,Monster Jam,42014,2015/1/10,Confirmed (56),COMP,"['Stadium', ' West Plaza']",41929,60000,58533,42011,2015/1/11,41423,240000,0,1,0,1,85,591,5,5,5,1,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
4,7774,2015 Georgia Entertainment Gala,42014,2015/1/10,Confirmed (56),CO,"['Building A Registration Hall', ' Exhibit Hall A1', ' Meeting Room A313', ' Meeting Room A313-A314', ' Meeting Room A314', ' Meeting Room A411', ' Meeting Room A411-A412', ' Meeting Room A412', ' Meeting Room A412A', ' Sidney Marcus Auditorium', ' Sidney Marcus Auditorium Foyer', "" Sidney Marcus Auditorium Interpreter's Booth"", ' Sidney Marcus Auditorium Lounge']",41744,1500,650,42013,2015/1/11,41645,375135,0,1,8581.7,1,270,369,3,5,5,1,0,0,0,1,0,0,0,1,0,0,10,1,0,0,0,0,0,0,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,nomatch
5,8130,2015 International Convention Volunteer Kick Off,42014,2015/1/11,Confirmed (56),MEET,['Georgia Ballroom 1-3'],41716,3000,1600,42014,2015/1/11,41689,51444,0,1,9000,2,298,325,2,5,6,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
6,8047,Novo Nordisk  POA 2015 - South Area,42015,2015/1/14,Confirmed (56),CONF,"['Executive Boardroom', ' Exhibit Hall B1', ' Exhibit Hall B2', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207-B208', ' Meeting Room B211-B212', ' Meeting Room B213-B214', ' Meeting Room B215', ' Meeting Room B216-217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308-B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312-B313A', ' Meeting Room B313B-B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319']",41900,1000,850,42014,2015/1/16,41680,1554946,0,11860,54605.16,4,115,335,7,6,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,42,17,5,1,0,0,0,0,0,nomatch
7,5510,Eggs & Issues,42017,2015/1/13,Confirmed (56),ME,"['Building B Registration Hall', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Galleria']",41933,1400,2120,42016,2015/1/13,41402,176686,55000,1,0,1,84,615,2,1,1,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,1,1,0,0,0,0,6,nomatch
8,10099,Jeff Zucker CNN Global Town Hall Meeting,42017,2015/1/14,Confirmed (56),MEET,['Sidney Marcus Auditorium'],42002,1500,350,42017,2015/1/14,41967,31378,0,1,6435,2,15,50,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,nomatch
9,9639,Primerica,42018,2015/1/14,Confirmed (56),MEET,"['Georgia Ballroom 1', ' Georgia Ballroom 2', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Green Room']",41991,700,600,42017,2015/1/14,41905,39064,0,1,10771.25,1,27,113,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
