,sqftPerEvent,orderedRentTotal,Attendance,totalRoomNights,eventDuration,contactTillStart,M-B,E-A,E-B,E-C,M-A,M-C,FB
558,5625501,190430.0,27000,3200.0,3,1607,0,0,3,7,0,23,1.0
557,7666913,201286.0,17000,20000.0,3,2340,47,3,6,0,20,0,75000.0
556,4794000,100000.0,300,1.0,1,88,0,3,3,1,0,0,2000.0
555,1671020,51500.0,15000,1350.0,3,689,0,0,0,5,0,8,1.0
554,1348840,0.0,1600,2220.0,6,295,0,2,0,0,30,0,450000.0
553,823000,20500.0,48000,1.0,2,1447,0,0,0,2,0,0,0.01
552,6171,1723.0,500,1.0,1,175,2,0,0,0,0,0,1.0
551,119558,35987.64,1000,100.0,4,211,0,0,0,0,5,0,1.0
550,2909311,88000.0,2500,3310.0,3,1031,0,3,0,0,16,0,1.0
548,13244374,540000.0,47000,37848.0,3,1151,47,7,10,13,29,23,200000.0
547,4544053,0.0,4837,8568.0,3,300,47,0,0,3,0,26,850000.0
546,2404552,185520.6,5950,9200.0,3,1734,0,2,0,0,33,0,250000.0
545,221368,10000.0,950,1.0,1,132,0,1,0,0,5,0,20000.0
544,4459303,152925.0,6603,21240.0,5,2265,47,0,4,0,25,0,350000.0
542,204660,36500.0,3000,1.0,1,353,0,0,0,0,0,7,1.0
543,1238850,28668.0,5500,1.0,2,345,0,3,0,0,1,0,1.0
541,1850433,56077.0,80000,1.0,6,236,0,0,0,5,0,5,1.0
540,109972,13500.0,700,475.0,3,321,0,0,0,0,16,0,1.0
539,2598017,135000.0,39000,7042.0,4,2012,0,4,1,0,30,0,1.0
538,14924101,240522.51,41,12000.0,3,2199,51,1,8,14,0,23,1750000.0
537,2048,100.0,35,1.0,1,36,0,0,0,0,1,0,1550.0
536,26922,8000.0,1800,1.0,1,268,0,0,0,0,4,0,1.0
535,16435,5100.0,700,1.0,1,53,0,0,0,0,0,0,1.0
534,16435,5100.0,1700,1.0,1,112,0,0,0,0,0,0,1.0
533,4008698,128000.0,4500,5237.0,3,1639,0,3,0,0,30,0,50000.0
532,34489,7650.0,1500,1.0,2,127,1,0,0,0,0,0,500.0
531,436080,67000.0,400,2468.0,4,276,14,0,0,0,0,0,56000.0
530,21340,6673.1,60,1.0,6,17,0,0,0,0,0,3,1.0
529,27191,15300.0,1000,150.0,1,355,0,0,0,0,0,0,1.0
528,36866,12000.0,803,1.0,3,113,0,0,0,0,1,0,1.0
527,2256985,80000.0,5779,350.0,1,260,0,0,0,4,0,21,150000.0
526,103310,25000.0,650,1.0,3,382,0,0,0,0,0,2,25000.0
525,104562,36000.0,1500,1.0,2,472,0,0,0,0,0,2,1.0
524,5446113,234000.0,7100,10510.0,4,1937,0,4,0,0,30,0,0.01
523,2476203,141869.68,8100,1200.0,3,1067,6,0,5,0,0,0,0.01
522,253241,40000.0,1500,1.0,4,512,5,0,0,0,1,0,1.0
521,27830,6192.0,101,1.0,1,288,5,0,0,0,0,0,2500.0
519,198450,26000.0,900,600.0,5,386,0,0,0,0,0,11,100000.0
520,39268,6228.59,110,230.0,4,33,0,0,0,0,6,0,15000.0
518,43415,11000.0,658,1.0,1,249,0,0,0,0,0,9,1.0
517,46266,13454.0,1100,30.0,3,120,0,0,0,0,5,0,1.0
516,4533260,59000.0,3957,8353.0,6,558,51,1,4,0,0,0,600000.0
515,2066760,110000.0,3100,4835.0,3,1923,0,2,0,0,29,0,1.0
514,19028,5100.0,1700,1.0,1,49,0,0,0,0,1,0,1.0
513,88617,28500.0,1500,1.0,3,458,0,0,0,0,0,3,1.0
512,130182,164.4,840,1.0,1,225,0,0,0,0,0,2,29400.0
511,5755876,303999.94,18000,8000.0,3,2112,47,0,11,0,0,0,0.01
509,67316,5000.0,1600,1.0,2,148,0,0,0,0,0,0,30000.0
508,6122673,230274.2,50000,29042.0,9,960,0,3,0,9,17,8,0.01
510,3779,0.0,75,1.0,1,110,0,0,0,0,2,0,500.0
507,11002693,607200.0,26945,43020.0,5,1453,47,4,7,0,30,2,1.0
506,125466,35000.0,2200,1.0,1,7,5,0,0,0,0,0,5000.0
505,388983,30000.0,200,1.0,4,14,0,0,1,1,0,0,2000.0
504,112404,36660.0,1500,1.0,2,470,0,0,0,0,0,3,1.0
503,268500,18900.0,3000,1.0,2,498,0,0,1,0,0,0,1.0
