,Event ID,Description,Cluster,Demand,PM
0,12598,Family Feud,FILM_AWC,1,0.199795289
1,5852,Future Business Leaders of America Phi Beta Lamda,CONV,1,0.189223649
2,6587,2016 Peachtree Health and Fitness Expo,PUB,2,0.198307804
3,9525,2016 NPC Georgia Bodybuilding and Figure Championships,COMP,1,0.18704094
4,5026,Alpha Kappa Alpha Sorority Inc.,CONV,1,0.10230114
5,12376,1st Annual Miss Teen Dream USA National Pageant 2016,COMP,1,0.025460768
6,5875,V-103 Car and Bike Show,PUB,2,0.174154595
7,11838,Solution Tree,MEET,1,0.110442754
8,8972,Herbalife Extravaganza,CONV,1,0.17776256
9,11732,Nike Tournament of Champions,COMP,1,0.188698221
10,6064,KIPP School Summit,CONV,1,0.18643793
11,12672,APS Back-to-School Bash,ME_OTH,0,0.111513282
12,13468,Insight Global Reception,SMALL,1,0.19313829
13,5912,Drum Corps International Band Competition,COMP,1,0.185371822
14,12072,2016 DoDIIS Worldwide,SMALL,1,0.170054835
15,13980,Summer of George,FILM_AWC,1,0.195913523
16,12589,The National Poetry Slam Finals,COMP,0,0.112211321
17,8587,Kell Kickoff Classic,CONF_GAM,1,0.116140854
18,11291,Bronner Bros. International Beauty Show,CONV,0,0.112328512
19,14164,'Ki Banu Duniya Da': Gurdas Maan Live in Concert,CON_P,2,0.194639285
20,6467,International Woodworking Fair 2016,CONV,0,0.168095539
21,12794,Chick-fil-A Kickoff Game - Georgia vs. North Carolina,CONF_GAM,2,0.188802467
22,5539,CFA Kickoff Game FanZone - Georgia vs. North Carolina,CONF_GAM,2,0.107173662
23,14351,Logan Lucky,FILM_AWC,1,0.175602136
24,11913,HR Star Conference,CONF_GAM,2,0.190047171
25,14348,Hire Dynamics,ME_OTH,2,0.030455433
26,11579,Electronic Dance Music Event,CON_P,2,0.150308816
27,14355,It Works! Gear Store,MEET,2,0.19179309
28,13309,It Works! U,SMALL,2,0.198528414
29,8725,Teradata Partners Conference & Expo,CONV,0,0.187130998
30,13462,Torch Relay for Children's Miracle Network - Atlanta Market,CHRTY_GRAD,2,0.188520656
31,5309,American Society for Bone and Mineral Research,CONV,0,0.189744924
32,11705,Walk to Defeat ALS,CHRTY_GRAD,2,0.194046702
33,11499,Microsoft Ignite,CONV,0,0.192834037
34,7359,North American Association of State and Provincial Lotteries,CONV,2,0.184389282
35,12117,VMUG Regional User Group,MEET,1,0.197848568
36,10717,2016 Susan G. Komen Atlanta 3 Day,CHRTY_GRAD,2,0.134612757
37,11577,Star City Games,PUB,1,0.191127238
38,11809,The Black Women's Expo,PUB,1,0.144144744
39,14133,Big Data Bootcamp,MEET,1,0.172736465
40,5716,Georgia State University vs. Texas State,CONF_GAM,2,0.162353793
41,8877,4Life,CONV,2,0.181349931
42,12328,Four Pillar Tribute,SMALL,2,0.192507944
43,12968,Atlanta Maritime Association,ME_OTH,1,0.197148516
44,11408,Women's Empowerment Motivational Speaking Seminar,MEET,1,0.197302151
45,14030,Humana 5K,SMALL,2,0.164838108
46,5354,National Association of Convenience Stores,CONV,2,0.187359282
47,5717,Georgia State University vs. UT Martin,CONF_GAM,2,0.156777412
48,11724,2016 Honda Dealer Meeting,MEET,1,0.188888502
49,10063,Walker Stalker Con,PUB,1,0.1752505
50,12474,State of the Region Breakfast,ME_OTH,1,0.175578374
51,5991,Bands of America Regionals,COMP,1,0.132559645
52,14004,Brightree,FILM_AWC,2,0.198897561
53,5055,Medtrade Conference & Expo,CONV,1,0.175901031
54,11401,Total Technology Summit,MEET,2,0.153275684
55,12632,GSMA Mobility Live! - North America,MEET,2,0.193902727
56,5327,Specialty Tools & Fasteners Distributors,CONV,1,0.186818206
57,5489,Rockwell Automation Fair 2016,CONV,1,0.186713426
58,12344,The Atlanta Women's Foundation,ME_OTH,2,0.199859609
59,12477,American Functional Medicine Association Conference,MEET,2,0.106444669
60,6410,Legacy of Excellence Awards,FILM_AWC,2,0.199245357
61,12609,Academy of Educational Excellence Awards,FILM_AWC,2,0.189919838
62,13425,Center for Black Women's Wellness Expo,PUB,2,0.176221306
63,14731,Baby Driver,FILM_AWC,2,0.196851343
64,13338,Battle of the Dancelines,COMP,0,0.14048871
65,5146,National Council of Teachers of English,CONV,1,0.160025085
66,12599,Heroes & Villains Fan Fest,PUB,2,0.173894079
67,14781,Hosea Feed The Hungry & Homeless- Thanksgiving,CHRTY_GRAD,1,0.066326759
68,14956,Sleepy Hollow,FILM_AWC,2,0.19740212
