event,cost
558,623.69
557,273.07
556,79
555,291.63
554,4455.33
553,5146.77
552,163.78
551,15192.24
550,49545.58
548,295855.02
547,142956.85
546,71012.72
545,8893.05
544,95632.53
542,6873.78
543,21447.87
541,56350.21
540,2223.44
539,163249.32
538,232220.37
537,174.02
536,5197.13
535,1165.09
534,4191.37
533,112601.3
532,8610.85
531,30013.69
530,1169.8
529,944.5
528,2024.56
527,72463.97
526,5867.64
525,13724.78
524,96101.75
523,31011.78
522,30375.53
521,2521.16
519,24669.8
520,377
518,9938.4
517,7313.81
516,77648.41
515,53760.52
514,2206.38
513,17142.33
512,743.58
511,124592.69
509,5129.73
508,199718.6
510,182.61
507,199242.71
506,1944.99
505,1946.02
504,1686.61
503,13732.92
502,97508.73
501,166842.37
500,68432.38
499,9766.47
498,459.05
497,8692.83
496,73444.85
495,18253.13
494,1667.01
492,799.97
493,818.95
491,32968.99
490,321315.23
489,70473.78
488,721.05
487,337039.23
486,35.34
485,814888.84
484,139989.17
483,91619.32
482,31.43
481,1573.75
480,164.97
479,697810.72
478,5871.68
477,72343.4
476,21642.71
475,11277.78
474,510.35
473,9007.2
472,85040.78
471,22187.57
470,56541.43
469,43252.86
468,21478.51
466,56850.68
465,1630.28
464,59404.57
463,5316.27
462,3007.11
461,39986.41
459,168986.58
460,24561.51
458,76.78
457,5374.92
456,29774
455,1067.78
454,9555.81
453,142.11
452,173.5
451,1121455.16
450,580.91
449,1287
448,51379.02
447,12789.77
446,75211.11
445,646.21
444,29080.99
443,19698.79
442,62057.59
441,982.37
440,27150.27
438,134009.34
437,4455.6
436,8414.58
435,7886.74
434,126.62
433,579.55
432,70908.26
431,4099.76
430,49.35
429,15509.36
428,23985.03
427,387.3
426,73327.96
425,953.34
424,155290.25
422,12544.47
423,10375.55
421,727.5
420,10221.04
419,209.72
418,1046421.37
417,1974.52
416,1364.83
415,73605.27
414,101868.53
413,11666.32
409,79768.79
411,6773.54
410,6282.53
412,19073.29
408,4622.65
407,10855.2
406,7938.34
405,47792.97
404,478.22
403,367.03
402,1166.69
401,9959.36
400,4562.87
399,2535.67
398,36609.21
397,50675.27
396,16863.41
395,6854.56
394,17585.95
392,22520.18
391,36446.85
390,27043.49
389,1655
388,1073.48
387,8072.24
386,63125.29
385,918.47
384,142.79
382,69002.41
381,2868.36
380,21192.6
379,516.6
378,106.07
377,151857.69
375,22377.69
374,21056.63
376,729.19
373,13147.81
372,134.34
371,6021.84
370,117555.97
369,56703.01
368,81086.83
367,107217.42
365,21871.51
364,41485.83
362,21397.81
361,1186.8
360,64.32
359,311732.68
358,443.84
357,4547.51
356,14907.37
354,21376.57
355,1251.78
353,37747.64
352,960.43
351,84.45
350,15686.41
349,31257.63
348,1913
347,36356.15
346,82985.72
345,1272.09
344,544.25
343,2764.35
342,5275.83
341,22668.01
340,15748.68
339,214169
338,56310.16
337,70.9
336,135770.46
335,53.74
334,1476.37
333,1258
332,3172.45
331,3121.62
330,78397.7
329,1224.3
328,110.47
327,94758.04
326,88882.1
325,110429.18
324,31145.63
322,6468.48
323,2891.28
321,12250.73
320,30270.23
319,30781.02
318,94257.24
317,33375.83
316,111936.88
315,149.6
314,603.81
313,3841.29
312,46500.23
311,219039.21
310,17.92
309,16435.28
307,93897.08
308,7804.76
306,298.73
305,8060.76
304,44954.27
303,5628.44
302,294.7
301,387399.14
300,848.81
299,2739.44
297,93.36
296,4305.62
295,139.64
294,8333.01
293,91654.11
291,155844.53
